Year,Month,Cases
2003,Jan,46
2003,Feb,29
2003,Mar,36
2003,Apr,47
2003,May,165
2003,Jun,373
2003,Jul,591
2003,Aug,374
2003,Sep,192
2003,Oct,162
2003,Nov,121
2003,Dec,70
2004,Jan,295
2004,Feb,185
2004,Mar,330
2004,Apr,191
2004,May,179
2004,Jun,261
2004,Jul,634
2004,Aug,687
2004,Sep,760
2004,Oct,636
2004,Nov,689
2004,Dec,410
2005,Jan,383
2005,Feb,282
2005,Mar,253
2005,Apr,249
2005,May,740
2005,Jun,648
2005,Jul,593
2005,Aug,484
2005,Sep,541
2005,Oct,430
2005,Nov,491
2005,Dec,298
2006,Jan,519
2006,Feb,349
2006,Mar,418
2006,Apr,219
2006,May,796
2006,Jun,979
2006,Jul,835
2006,Aug,692
2006,Sep,683
2006,Oct,709
2006,Nov,643
2006,Dec,790
2007,Jan,600
2007,Feb,282
2007,Mar,323
2007,Apr,273
2007,May,448
2007,Jun,725
2007,Jul,698
2007,Aug,768
2007,Sep,839
2007,Oct,842
2007,Nov,958
2007,Dec,529
2008,Jan,601
2008,Feb,550
2008,Mar,605
2008,Apr,656
2008,May,715
2008,Jun,1026
2008,Jul,1174
2008,Aug,1406
2008,Sep,620
2008,Oct,1660
2008,Nov,1154
2008,Dec,842
2009,Jan,502
2009,Feb,310
2009,Mar,322
2009,Apr,266
2009,May,409
2009,Jun,777
2009,Jul,725
2009,Aug,888
2009,Sep,772
2009,Oct,880
2009,Nov,1068
2009,Dec,954
2010,Jan,617
2010,Feb,621
2010,Mar,591
2010,Apr,381
2010,May,348
2010,Jun,536
2010,Jul,901
2010,Aug,1399
2010,Sep,1576
2010,Oct,1654
2010,Nov,1462
2010,Dec,826
2011,Jan,690
2011,Feb,421
2011,Mar,389
2011,Apr,468
2011,May,1068
2011,Jun,1436
2011,Jul,1539
2011,Aug,1238
2011,Sep,873
2011,Oct,780
2011,Nov,1078
2011,Dec,594
2012,Jan,310
2012,Feb,266
2012,Mar,276
2012,Apr,256
2012,May,211
2012,Jun,340
2012,Jul,704
2012,Aug,1031
2012,Sep,1063
2012,Oct,1666
2012,Nov,2259
2012,Dec,1646
2013,Jan,1509
2013,Feb,760
2013,Mar,643
2013,Apr,551
2013,May,635
2013,Jun,965
2013,Jul,1862
2013,Aug,2139
2013,Sep,1640
2013,Oct,1650
2013,Nov,1596
2013,Dec,827
2014,Jan,405
2014,Feb,313
2014,Mar,251
2014,Apr,168
2014,May,170
2014,Jun,212
2014,Jul,348
2014,Aug,408
2014,Sep,533
2014,Oct,625
2014,Nov,809
2014,Dec,476
2015,Jan,614
2015,Feb,445
2015,Mar,418
2015,Apr,414
2015,May,1001
2015,Jun,1099
2015,Jul,1591
2015,Aug,2391
2015,Sep,2815
2015,Oct,3961
2015,Nov,8337
2015,Dec,3185
2016,Jan,1911
2016,Feb,823
2016,Mar,535
2016,Apr,251
2016,May,124
2016,Jun,123
2016,Jul,361
2016,Aug,607
2016,Sep,623
2016,Oct,724
2016,Nov,780
2016,Dec,604
2017,Jan,394
2017,Feb,250
2017,Mar,215
2017,Apr,220
2017,May,275
2017,Jun,679
2017,Jul,1253
2017,Aug,1458
2017,Sep,1116
2017,Oct,1141
2017,Nov,1359
2017,Dec,858
